,"cliente","Año-Mes","plataforma_abreviacion","inicio_reporte","fin_reporte","tipo_conversion","fuente_medio","Nombre_Campaña","llave_analytcis","conversiones","revenue","archivo"
12,"RadioShack","2003_Marzo","FB","2020-03-17","2020-03-24","Asistida","adsocialfb / 2003_rs_mkt_ao_fb","2003_RS_MKT_AO_SHACKHOMECERRADURAS_4AL31_FB",,1,1089.35,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/17:03:2020 al 24:03:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200317-20200324.csv"
13,"RadioShack","2003_Marzo","FB","2020-03-17","2020-03-24","Asistida","adsocialfb / 2003_rs_mkt_ao_fb","2003_RS_MKT_AO_SHACKHOMEENERGIA_4AL31_FB",,2,1788.35,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/17:03:2020 al 24:03:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200317-20200324.csv"
14,"RadioShack","2003_Marzo","FB","2020-03-01","2020-03-08","Asistida","adsocialfb / 2003_rs_mkt_ao_fb","2003_RS_MKT_AO_SHACKHOMEILUMINACION_4AL31_FB",,2,2122,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/1:03:2020 al 8:03:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200301-20200308.csv"
15,"RadioShack","2003_Marzo","FB","2020-03-17","2020-03-24","Asistida","adsocialfb / 2003_rs_mkt_ao_fb","2003_RS_MKT_AO_SHACKHOMEILUMINACION_4AL31_FB",,2,1538.6,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/17:03:2020 al 24:03:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200317-20200324.csv"
16,"RadioShack","2003_Marzo","FB","2020-03-09","2020-03-16","Asistida","adsocialfb / 2003_rs_mkt_ao_fb","2003_RS_MKT_AO_SHACKHOMEILUMINACION_4AL31_FB",,1,1299,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/9:03:2020 al 16:03:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200309-20200316.csv"
17,"RadioShack","2003_Marzo","FB","2020-03-01","2020-03-08","Directa","adsocialfb / 2003_rs_mkt_ao_fb","2003_RS_MKT_AO_SHACKHOMEILUMINACION_4AL31_FB",,1,1348,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/1:03:2020 al 8:03:2020/Analytics www.radioshack.com.mx Todo el tráfico 20200301-20200308.xlsx"
18,"RadioShack","2003_Marzo","DSP","2020-03-17","2020-03-24","Asistida","adsocialdsp / 2003_rs_mkt_ao_dsp","2003_RS_MKT_AO_WARMINGSHACKDAYS_11MARZO_DSP",,1,39,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/17:03:2020 al 24:03:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200317-20200324.csv"
19,"RadioShack","2003_Marzo","FB","2020-03-01","2020-03-08","Asistida","adsocialfb / 2003_rs_mkt_ao_fb","2003_RS_MKT_AO_XBOX+HALO5_3MARZ_AL_30ABRI_FB",,1,999,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/1:03:2020 al 8:03:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200301-20200308.csv"
20,"RadioShack","2003_Marzo","FB","2020-03-17","2020-03-24","Asistida","adsocialfb / 2003_rs_mkt_ao_fb","2003_RS_MKT_AO_XBOX+HALO5_3MARZ_AL_30ABRI_FB",,2,1688,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/17:03:2020 al 24:03:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200317-20200324.csv"
21,"RadioShack","2003_Marzo","FB","2020-03-09","2020-03-16","Asistida","adsocialfb / 2003_rs_mkt_ao_fb","2003_RS_MKT_AO_XBOX+HALO5_3MARZ_AL_30ABRI_FB",,1,839,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/9:03:2020 al 16:03:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200309-20200316.csv"
22,"RadioShack","2003_Marzo","FB","2020-03-01","2020-03-08","Directa","adsocialfb / 2003_rs_mkt_ao_fb","2003_RS_MKT_AO_XBOX+HALO5_3MARZ_AL_30ABRI_FB",,1,7097,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/1:03:2020 al 8:03:2020/Analytics www.radioshack.com.mx Todo el tráfico 20200301-20200308.xlsx"
23,"RadioShack","2003_Marzo","FB","2020-03-09","2020-03-16","Directa","adsocialfb / 2003_rs_mkt_ao_fb","2003_RS_MKT_AO_XBOX+HALO5_3MARZ_AL_30ABRI_FB",,1,439,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/9:03:2020 al 16:03:2020/Analytics www.radioshack.com.mx Todo el tráfico 20200309-20200316.xlsx"
24,"RadioShack","2003_Marzo","FB","2020-03-17","2020-03-24","Asistida","adsocialfb / 2003_rs_mkt_preventacitibanamex_fb","2003_RS_MKT_PREVENTACITIBANAMEX_12MARZO_FB",,1,49,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/17:03:2020 al 24:03:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200317-20200324.csv"
25,"RadioShack","2003_Marzo","FB","2020-03-09","2020-03-16","Asistida","adsocialfb / 2003_rs_mkt_preventacitibanamex_fb","2003_RS_MKT_PREVENTACITIBANAMEX_12MARZO_FB",,1,1998,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/9:03:2020 al 16:03:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200309-20200316.csv"
26,"RadioShack","2003_Marzo","FB","2020-03-17","2020-03-24","Asistida","adsocialfb / 2003_rs_mkt_shackdayscadena_fb","2003_RS_MKT_SHACKDAYSCADENA_13AL16_FB",,2,1538.6,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/17:03:2020 al 24:03:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200317-20200324.csv"
27,"RadioShack","2003_Marzo","FB","2020-03-09","2020-03-16","Asistida","adsocialfb / 2003_rs_mkt_shackdayscadena_fb","2003_RS_MKT_SHACKDAYSCADENA_13AL16_FB",,2,1818,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/9:03:2020 al 16:03:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200309-20200316.csv"
0,"RadioShack","2003_Marzo","FB","2020-03-09","2020-03-16","Directa","adsocialfb / 2003_rs_mkt_shackdayscadena_fb","2003_RS_MKT_SHACKDAYSCADENA_13AL16_FB",,6,4554,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/9:03:2020 al 16:03:2020/Analytics www.radioshack.com.mx Todo el tráfico 20200309-20200316.xlsx"
1,"RadioShack","2003_Marzo","DSP","2020-03-17","2020-03-24","Asistida","adsocialherolensdsp / 2003_rs_mkt_shackdaysonline_dsp","2003_RS_MKT_SHACKDAYSONLINE_17Y18_DSP",,1,600.6,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/17:03:2020 al 24:03:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200317-20200324.csv"
2,"RadioShack","2003_Marzo","FB","2020-03-17","2020-03-24","Asistida","adsocialfb / 2003_rs_mkt_shackdaysonline_fb","2003_RS_MKT_SHACKDAYSONLINE_17Y18_FB",,2,1248.3,"/home/carlos/Dropbox/ROAS 2020/2003_Marzo/Semanal/17:03:2020 al 24:03:2020/Analytics www.radioshack.com.mx Conversiones asistidas 20200317-20200324.csv"
