KPI
1 de mayo de 2020 - 30 de mayo de 2020
Campaña,Mes,Fecha de inicio,Fecha de finalización,Día,Género,Edad,Moneda,Costo,Impresiones,Clics,Conversiones,CPC prom.,Costo/conv.
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-24,Hombre,35-44,MXN,10.91,795,5,0.00,2.18,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-25,Mujer,De entre 45 y 54 años,MXN,31.14,23,5,0.00,6.23,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-25,Hombre,35-44,MXN,16.14,547,8,0.00,2.02,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-26,Mujer,De entre 45 y 54 años,MXN,35.93,39,5,0.00,7.19,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-26,Hombre,35-44,MXN,7.37,816,4,0.00,1.84,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-27,Mujer,De entre 45 y 54 años,MXN,9.85,16,2,0.00,4.92,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-27,Hombre,35-44,MXN,3.42,674,2,0.00,1.71,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-28,Mujer,De entre 45 y 54 años,MXN,9.89,19,1,0.00,9.89,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-28,Hombre,35-44,MXN,9.92,684,5,0.00,1.98,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-29,Hombre,35-44,MXN,21.14,"1,081",13,0.00,1.63,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-30,Mujer,De entre 45 y 54 años,MXN,40.99,39,7,1.00,5.86,40.99
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-30,Hombre,35-44,MXN,14.57,841,8,1.00,1.82,14.57
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-01,Hombre,De entre 45 y 54 años,MXN,22.37,9,3,0.00,7.46,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-01,Hombre,35-44,MXN,7.69,15,1,0.00,7.69,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-01,Sin especificar,35-44,MXN,2.94,150,1,0.00,2.94,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-01,Hombre,65 o más,MXN,1.34,552,1,0.00,1.34,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-02,Hombre,De entre 45 y 54 años,MXN,9.07,13,2,0.00,4.54,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-02,Hombre,35-44,MXN,29.35,21,4,0.00,7.34,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-02,Sin especificar,35-44,MXN,0.00,127,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-02,Hombre,65 o más,MXN,3.87,511,4,0.00,0.97,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-03,Hombre,Sin especificar,MXN,9.71,7,1,0.00,9.71,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-03,Hombre,De entre 45 y 54 años,MXN,7.41,15,2,0.00,3.70,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-03,Hombre,35-44,MXN,39.04,28,9,0.00,4.34,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-03,Sin especificar,35-44,MXN,0.00,200,0,0.00,0.00,0.00
2003_GWEP_ParqueHacienda_PI_PFM_GDN,May 2020,2020-03-02, --,2020-05-03,Hombre,65 o más,MXN,5.34,740,7,0.00,0.76,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-04,Hombre,Sin especificar,MXN,0.00,2,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-04,Hombre,De entre 45 y 54 años,MXN,33.88,15,4,0.00,8.47,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-04,Mujer,De entre 45 y 54 años,MXN,0.00,12,0,0.00,0.00,0.00
2002_GWEP_ParqueHacienda_PI_PFM_SEM,May 2020,2020-02-01, --,2020-05-04,Hombre,35-44,MXN,17.83,24,2,0.00,8.92,0.00
